time,value
12:30:00,111
12:45:00,145
13:00:00,142
13:15:00,122
13:30:00,136
13:45:00,72
14:00:00,73
14:15:00,70
14:30:00,69
14:45:00,71
15:00:00,63
15:15:00,66
15:30:00,70
15:45:00,69
16:00:00,69
16:15:00,69
16:30:00,64
16:45:00,66
17:00:00,73
17:15:00,70
17:30:00,77
17:45:00,70
18:00:00,77
18:15:00,68
18:30:00,88
18:45:00,103
19:00:00,114
19:15:00,105
19:30:00,103
19:45:00,91
20:00:00,81
20:15:00,71
20:30:00,63
20:45:00,60
21:00:00,59
21:15:00,60
21:30:00,60
21:45:00,60
22:00:00,57
22:15:00,58
22:30:00,55
22:45:00,59
23:00:00,52
23:15:00,51
23:30:00,52
23:45:00,53
