time,value
00:00:00,0
00:15:00,0
00:30:00,0
00:45:00,0
01:00:00,0
01:15:00,0
01:30:00,0
01:45:00,0
02:00:00,0
02:15:00,0
02:30:00,0
02:45:00,0
03:00:00,0
03:15:00,0
03:30:00,0
03:45:00,0
04:00:00,0
04:15:00,0
04:30:00,0
04:45:00,0
05:00:00,0
05:15:00,0
05:30:00,0
05:45:00,0
06:00:00,0
06:15:00,78
06:30:00,9
06:45:00,0
07:00:00,0
07:15:00,47
07:30:00,304
07:45:00,0
08:00:00,35
08:15:00,114
08:30:00,0
08:45:00,385
09:00:00,567
09:15:00,9
09:30:00,7
09:45:00,47
10:00:00,457
10:15:00,242
10:30:00,393
10:45:00,227
11:00:00,162
11:15:00,212
11:30:00,163
11:45:00,71
12:00:00,154
12:15:00,48
12:30:00,7
12:45:00,32
13:00:00,33
13:15:00,78
13:30:00,82
13:45:00,40
14:00:00,0
14:15:00,154
14:30:00,55
14:45:00,170
15:00:00,75
15:15:00,0
15:30:00,1043
15:45:00,2683
16:00:00,2112
16:15:00,2049
16:30:00,1661
16:45:00,94
17:00:00,0
17:15:00,6
17:30:00,32
17:45:00,0
18:00:00,125
18:15:00,80
18:30:00,0
18:45:00,86
19:00:00,128
19:15:00,60
19:30:00,0
19:45:00,11
20:00:00,28
20:15:00,0
20:30:00,0
20:45:00,0
21:00:00,0
21:15:00,97
21:30:00,232
21:45:00,84
22:00:00,124
22:15:00,37
22:30:00,0
22:45:00,0
23:00:00,0
23:15:00,0
23:30:00,0
23:45:00,0
